Year,Quarter,Profit
FY10,Q1,"18,436,000"
FY10,Q2,"21,198,000"
FY10,Q3,"20,691,000"
FY10,Q4,"20,394,000"
FY11,Q1,"17,745,000"
FY11,Q2,"14,744,000"
FY11,Q3,"21,072,000"
FY11,Q4,"10,913,000"
FY12,Q1,"530,000"
FY12,Q2,"-4,268,000"
FY12,Q3,"-3,756,000"
FY12,Q4,"-4,078,000"
FY13,Q1,"-19,475,000"
FY13,Q2,"-9,829,000"
FY13,Q3,"-220,297,000"
FY13,Q4,"-20,844,000"
FY14,Q1,"-67,721,000"
FY14,Q2,"-76,603,000"
FY14,Q3,"-124,434,000"
FY14,Q4,"-116,623,000"
FY15,Q1,"-96,911,000"
FY15,Q2,"-61,088,000"
FY15,Q3,"-38,924,000"
FY15,Q4,"-65,765,000"
FY16,Q1,"4,092,000"
FY16,Q2,"-852,000"
FY16,Q3,"-25,157,000"
FY16,Q4,"-25,509,000"
FY17,Q1,"38,759,000"
FY17,Q2,"229,622,000"
FY17,Q3,"-37,309,000"
FY17,Q4,"-51,440,000"
FY18,Q1,"-9,207,000"
FY18,Q2,"17,736,000"
FY18,Q3,"51,394,000"
FY18,Q4,"67,555,000"
FY19,Q1,"344,000,000"
FY19,Q2,"299,000,000"
FY19,Q3,"105,000,000"
FY19,Q4,"362,000,000"
FY20,Q1,"392,000,000"
FY20,Q2,"91,000,000"